DOCNO,round_number,query_id,author_id,query,TEXT,QREL,KSREL,POS,DELTA,DELTA_2,DELTA_3
ROUND-1-193-DUMMY_1,1,193,DUMMY_1,dog clean bags,"You can purchase dog waste bags online. Are there any low cost options? There are plenty of low cost alternatives to dog waste bags. Dog owners could use old newspapers, spare plastic bags, nappy sacks, or use a pooper-scooper and throw waste directly into the dog waste bin. I have seen bins with a picture of a dog on them. What does this mean? dog The council is installing new bins which allow for both refuse and dog waste. So when you see this dog on a bin, it means you can put your doggy bag in it. The new multi-use bins will be dotted around Ashford and the town centre, making it easier for dog owners to clean up after their pets and help keep the borough looking clean.",1,3,4,0,0,0
ROUND-1-193-BOT,1,193,BOT,dog clean bags,"Dog waste bags are useally made of plastic, nylon or even Consumable material and used for cleaning after your dogs waste.  You can purchase dog waste bags online or at the nearest groccery store to your home.
If you wish to save money, there are plenty of  alternatives to dog waste bags. Dog owners could use old newspapers, spare plastic bags, nappy sacks, or use a pooper-scooper and throw waste directly into the dog waste bin. These bins with a dog picture on it in can be found in almost every dog's park.
So when you see this dog on a bin, it means you can put your doggy bag in it.
These bins that are spreaded in the dog's park, make it easier for dog owners to clean up after their pets and help keeping the environment cleaner.",3,1,2,0,0,0
ROUND-1-193-DUMMY_2,1,193,DUMMY_2,dog clean bags,"You can purchase dog waste bags online. Nonetheless, There are plenty of low cost alternatives to dog waste bags. Dog owners could use old newspapers, spare plastic bags, nappy sacks, or use a pooper-scooper and throw waste directly into the dog waste bin. The council is installing new bins which allow for both refuse and dog waste. So when you see this dog on a bin, it means you can put your doggy bag in it. The new multi-use bins will be dotted around Ashford and the town centre, making it easier for dog owners to clean up after their pets and help keep the borough looking clean.",0,3,3,0,0,0
ROUND-1-193-KP5G43,1,193,KP5G43,dog clean bags,"Cleaning up after your dog is one of the less pleasant parts of life as a pet owner, but it has to be done nevertheless. 
Pet Mountain's Dog Poop Cleaning Supplies store features top quality products at low, low prices from the most trusted names in sanitary dog care and cleanup, including Bags on Board, Nature's Miracle, PetZone and more. Dog Poop Pickup Bag Dispensers make it easy to carry your pickup bags with you wherever you go! And our huge selection of Dog Poop Pickup Bags has the bag you need to get that poop cleaned up quickly and cleanly. And of course, sometimes you just need a good old-fashioned Dog Poop Scoops or Rake. These ergonomic scoops and rakes are designed to make it extremely easy for you to remove waste from the lawn, sandbox, garden and more.",3,0,1,0,0,0
ROUND-1-193-CZFMFV,1,193,CZFMFV,dog clean bags,"Your Online Discount Dog Poop Cleanup Bags Store:
Pet Mountain carries thousands of quality pet products at low, low prices. Feel free to browse through any of our specialized stores to find the exact item you need!
Pet Mountain products are guaranteed to meet your satisfaction. We do everything we can to work with our manufacturers to ensure that you get the quality you expect, the service you deserve and the best prices in the industry. At Pet Mountain, we buy in bulk and develop programs with our network of suppliers that focus on giving you more for your money. Like you, we care about our pets. Its all about giving our dogs, cats, birds and other pets a good life!",3,3,5,0,0,0
ROUND-2-193-DUMMY_1,2,193,DUMMY_1,dog clean bags,"You can purchase dog waste bags online.But, are there any low cost options to replace the expansive dog waste bags? There are plenty of low cost alternatives to dog waste bags. Dog owners could use spare plastic bags, nappy sacks, or use a pooper-scooper and throw the dog waste directly into the dog waste bin. I have seen bins with a picture of a dog on them. What does this mean? The council is installing new bins which allow for both refuse and dog waste, so after your dog finished his doggy business, clean it and when you see this dog on a bin, it means you can put your doggy bag in it. The new multi-use bins will be dotted around Ashford and the town centre, making it easier for dog owners to clean up after their pets and help keep the borough looking clean.",1,3,2,2,0,0
ROUND-2-193-BOT,2,193,BOT,dog clean bags,"Dog waste bags are useally made of plastic, nylon or even Consumable material and used for cleaning after your dogs waste.  You can purchase dog waste bags online or at the nearest groccery store to your home.
If you wish to save money, there are plenty of  alternatives to dog waste bags. Dog owners could use old newspapers, spare plastic bags, nappy sacks, or use a pooper-scooper and throw waste directly into the dog waste bin. These bins with a dog picture on it in can be found in almost every dog's park.
And our huge selection of Dog Poop Pickup Bags has the bag you need to get that poop cleaned up quickly and cleanly.
These bins that are spreaded in the dog's park, make it easier for dog owners to clean up after their pets and help keeping the environment cleaner.",1,1,4,-2,0,0
ROUND-2-193-DUMMY_2,2,193,DUMMY_2,dog clean bags,"There are many options for purchasing dog waste bags online. However, if you are a dog owner and looking for a cheap alternative, you could use old newspapers, spare plastic bags, nappy sacks, or use a pooper-scooper and throw waste directly into the dog waste bins. The council is installing new bins which allow for both refuse and dog waste. So when you see a bin with a picture of a dog on it, it means you can put your doggy bag in it. The new multi-use bins will be dotted around Ashford and the town centre, making it easier for dog owners to clean up after their pets and help keep the borough looking clean.",3,3,3,0,0,0
ROUND-2-193-KP5G43,2,193,KP5G43,dog clean bags,"Cleaning up after your dog is one of the less pleasant parts of life as a pet owner, but it has to be done nevertheless. 
Pet Mountain's Dog Poop Cleaning Supplies store features top quality products at low, low prices from the most trusted names in sanitary dog care and cleanup, including Bags on Board, Nature's Miracle, PetZone and more. Dog Poop Pickup Bag Dispensers make it easy to carry your pickup bags with you wherever you go! And our huge selection of Dog Poop Pickup Bags has the bag you need to get that poop cleaned up quickly and cleanly. And of course, sometimes you just need a good old-fashioned Dog Poop Scoops or Rake. These ergonomic scoops and rakes are designed to make it extremely easy for you to remove waste from the lawn, sandbox, garden and more.",3,0,1,0,0,0
ROUND-2-193-CZFMFV,2,193,CZFMFV,dog clean bags,"Your Online Discount Dog Poop Cleanup Bags Store:
Pet Mountain carries thousands of quality pet products at low, low prices. Feel free to browse through any of our specialized stores to find the exact item you need!
Pet Mountain products are guaranteed to meet your satisfaction. We do everything we can to work with our manufacturers to ensure that you get the quality you expect, the service you deserve and the best prices in the industry. At Pet Mountain, we buy in bulk and develop programs with our network of suppliers that focus on giving you more for your money. Like you, we care about our pets. Its all about giving our dogs, cats, birds and other pets a good life!",3,3,5,0,0,0
ROUND-3-193-DUMMY_1,3,193,DUMMY_1,dog clean bags,A council is fining dog walkers £100 if they leave the house without a bag to clean up after their pet - regardless of whether the dog does its business or not. Even the overwhelming majority of dog owners do pick up their dog's mess in a bag.,3,0,5,-3,-1,0
ROUND-3-193-BOT,3,193,BOT,dog clean bags,"Dog waste bags are useally made of plastic, nylon or even Consumable material and used for cleaning after your dogs waste.  You can purchase dog waste bags online or at the nearest groccery store to your home.
If you wish to save money, there are plenty of  alternatives to dog waste bags. Dog owners could use old newspapers, spare plastic bags, nappy sacks, or use a pooper-scooper and throw waste directly into the dog waste bin. And our huge selection of Dog Poop Pickup Bags has the bag you need to get that poop cleaned up quickly and cleanly.
And our huge selection of Dog Poop Pickup Bags has the bag you need to get that poop cleaned up quickly and cleanly.
These bins that are spreaded in the dog's park, make it easier for dog owners to clean up after their pets and help keeping the environment cleaner.",0,2,2,2,0,0
ROUND-3-193-DUMMY_2,3,193,DUMMY_2,dog clean bags,"There are many options for purchasing dog waste bags online. However, if you are a dog owner and looking for a cheap alternative, you could use old newspapers, spare plastic bags, nappy sacks, or use a pooper-scooper and throw waste directly into the dog waste bins. The council is installing new bins which allow for both refuse and dog waste. So when you see a bin with a picture of a dog on it, it means you can put your doggy bag in it. The new multi-use bins will be dotted around Ashford and the town centre, making it easier for dog owners to clean up after their pets and help keep the borough looking clean.",3,3,3,0,0,0
ROUND-3-193-KP5G43,3,193,KP5G43,dog clean bags,"Cleaning up after your dog is one of the less pleasant parts of life as a pet owner, but it has to be done nevertheless. 
Pet Mountain's Dog Poop Cleaning Supplies store features top quality products at low, low prices from the most trusted names in sanitary dog care and cleanup, including Bags on Board, Nature's Miracle, PetZone and more. Dog Poop Pickup Bag Dispensers make it easy to carry your pickup bags with you wherever you go! And our huge selection of Dog Poop Pickup Bags has the bag you need to get that poop cleaned up quickly and cleanly. And of course, sometimes you just need a good old-fashioned Dog Poop Scoops or Rake. These ergonomic scoops and rakes are designed to make it extremely easy for you to remove waste from the lawn, sandbox, garden and more.",3,0,1,0,0,0
ROUND-3-193-CZFMFV,3,193,CZFMFV,dog clean bags,"Your Online Discount Dog Poop Cleanup Bags Store:
Pet Mountain carries thousands of quality pet products at low, low prices. Feel free to browse through any of our specialized stores to find the exact item you need!
Pet Mountain products are guaranteed to meet your satisfaction. We do everything we can to work with our manufacturers to ensure that you get the quality you expect, the service you deserve and the best prices in the industry. At Pet Mountain, we buy in bulk and develop programs with our network of suppliers that focus on giving you more for your money. Like you, we care about our pets. Its all about giving our dogs, cats, birds and other pets a good life!",3,3,4,1,1,0
ROUND-4-193-DUMMY_1,4,193,DUMMY_1,dog clean bags,"Strong quality pet waste bags. Very easy to open, each bag is marked at perforation for easy separation, no fumbling for where to tear the next bag. Guaranteed to be Leak-proof. Bags are Long and wide for easy pick up. Size: 12 1/2"" L x 8 1/2"" W. Each bag is carefully marked with the Downtown Pet Supply Trademark, the mark of the best bags on the market today.",1,1,5,0,-3,-1
ROUND-4-193-BOT,4,193,BOT,dog clean bags,"Dog waste bags are useally made of plastic, nylon or even Consumable material and used for cleaning after your dogs waste.  You can purchase dog waste bags online or at the nearest groccery store to your home.
If you wish to save money, there are plenty of  alternatives to dog waste bags. Dog owners could use old newspapers, spare plastic bags, nappy sacks, or use a pooper-scooper and throw waste directly into the dog waste bin. And our huge selection of Dog Poop Pickup Bags has the bag you need to get that poop cleaned up quickly and cleanly.
And our huge selection of Dog Poop Pickup Bags has the bag you need to get that poop cleaned up quickly and cleanly.
And our huge selection of Dog Poop Pickup Bags has the bag you need to get that poop cleaned up quickly and cleanly.",0,2,2,0,2,0
ROUND-4-193-DUMMY_2,4,193,DUMMY_2,dog clean bags,"You are looking for buying bags for cleaning after your dog. Did you know that in some states you can get a fine if you don't clean after it? So don't get lazy! pick up your dog's waste using a plastic bag, newspaper or a pooper-scooper you can purchase online and throw it away. You will avoid the fines and help keep your surrounding clean and tidy.",1,2,3,0,0,0
ROUND-4-193-KP5G43,4,193,KP5G43,dog clean bags,"Cleaning up after your dog is one of the less pleasant parts of life as a pet owner, but it has to be done nevertheless. 
Pet Mountain's Dog Poop Cleaning Supplies store features top quality products at low, low prices from the most trusted names in sanitary dog care and cleanup, including Bags on Board, Nature's Miracle, PetZone and more. Dog Poop Pickup Bag Dispensers make it easy to carry your pickup bags with you wherever you go! And our huge selection of Dog Poop Pickup Bags has the bag you need to get that poop cleaned up quickly and cleanly. And of course, sometimes you just need a good old-fashioned Dog Poop Scoops or Rake. These ergonomic scoops and rakes are designed to make it extremely easy for you to remove waste from the lawn, sandbox, garden and more.",3,0,1,0,0,0
ROUND-4-193-CZFMFV,4,193,CZFMFV,dog clean bags,"Your Online Discount Dog Poop Cleanup Bags Store:
Pet Mountain carries thousands of quality pet products at low, low prices. Feel free to browse through any of our specialized stores to find the exact item you need!
Pet Mountain products are guaranteed to meet your satisfaction. We do everything we can to work with our manufacturers to ensure that you get the quality you expect, the service you deserve and the best prices in the industry. At Pet Mountain, we buy in bulk and develop programs with our network of suppliers that focus on giving you more for your money. Like you, we care about our pets. Its all about giving our dogs, cats, birds and other pets a good life!",3,3,4,0,1,1
ROUND-1-180-8RUXW7,1,180,8RUXW7,newyork hotels,"Here are some of the best website to visit when you are searching for a hotel in New York city: 
For great savings on hotels in New York. Good availability and great rates. Read hotel reviews and choose the best hotel deal for your staying at https://www.booking.com/city/us/new-york.html
Find The Best Value of 757 places to stay in New York City. Free Wifi. Restaurant and more at https://www.tripadvisor.com/Hotels-g60763-New_York_City_New_York-Hotels.html
For the best price guarantee on New York hotels. Choose from 1032 hotels in New York using real hotel reviews. Book now and save at https://www.hotels.com/de1506246/hotels-new-york-new-york/ 
New York is known for its theater scene, entertainment choices, and art galleries.Book hotels and other at https://www.expedia.com/New-York-Hotels.d178293.Travel-Guide-Hotels",2,3,3,0,0,0
ROUND-1-180-DUMMY_1,1,180,DUMMY_1,newyork hotels,"Commonly referred to as ""The Most Famous Arena in the World,"" Madison Square Garden (MSG) is the home of the New York Knicks, newyork Rangers, and some of the best concerts in newyork city. To find the cheapest budget hotels newyork near MSG, check out the great newyork city hotels values below. Hampton Inn Madison Square Garden hotel: The Hampton Inn newyork city near MSG is just a short walk from MSG, and is surrounded by some of the best bars in newyork city. Grab a pint before the game, and enjoy close access to your newyork hotel at the Hampton Inn MSG. Holiday Inn Express MSG hotel: This budget hotel newyork city near MSG offers a complimentary weeknight social hour, and is just across the street from historic Penn Station.",0,3,2,0,0,0
ROUND-1-180-BOT,1,180,BOT,newyork hotels,"Commonly referred to as ""The Most Famous Arena in the World,"" Madison Square Garden is the home of the New York Knicks, NY Rangers, and some of the best concerts in NYC. To find the cheapest budget hotels NY near MSG, check out the great NYC hotel values below.
    Hampton Inn Madison Square Garden: The Hampton Inn NYC near MSG is just a short walk from Madison Square Garden, and is surrounded by some of the best bars in NYC. Grab a pint before the game, and enjoy close access to your NY hotel ar the Hampton Inn MSG.
    Holiday Inn Express MSG: This budget hotel NYC near Madison Square Garden offers a complimentary weeknight social hour, and is just across the street from historic Penn Station.",2,3,5,0,0,0
ROUND-1-180-DUMMY_2,1,180,DUMMY_2,newyork hotels,"Commonly referred to as ""The Most Famous Arena in the World"" Madison Square Garden is the home of the New York Knicks, NY Rangers, and some of the best concerts in NYC. To find the cheapest budget hotels NY near MSG, check out the great NYC hotel values below.
Hampton Inn Madison Square Garden (0.6km from MSG): The Hampton Inn NYC near MSG is just a short walk from Madison Square Garden, and is surrounded by some of the best bars in NYC. 97$ on Booking.com.
Holiday Inn Express MSG (0.6km from MSG): This budget hotel NYC Just 2 blocks from Madison Square Garden offers a complimentary weeknight social hour, and is just across the street from historic Penn Station. 93$ on Booking.com.",0,3,4,0,0,0
ROUND-1-180-6LWZ77,1,180,6LWZ77,newyork hotels,"Chic, urban, and in the heart of it all, the Pod Hotels are right where you want to be in New York City.
Pod 39, Pod 51 and our new location PodTime square are close to all of the action, but just far enough away - and above - the hustle and bustle. 
Our Pods are all a short walk or subway ride away from every major site in NewYork, Times Square,  the Empire State Building, Fifth Avenue, Central Park, Grand Central Terminal, Rockefeller Center, and much more.
Once you step out of our doors, eat, drink, and play options are endless and are limited only by your imagination.",2,2,1,0,0,0
ROUND-2-180-8RUXW7,2,180,8RUXW7,newyork hotels,"THE MIDTOWN NEW YORK CITY HOTEL - CENTRAL TO NEW YORK'S BEST Midtown convenience. 
Classic hospitality. Complete comfort. Whether visiting New York for business or pleasure, you'll be comfortable here at the Park Central Hotel New York - located squarely amidst New York's most popular sights and hotels in Midtown Manhattan. Our mix of exciting amenities pay homage to our glamorous past, while presenting a modern spin on the hotel's electrifying environment. Guests will delight in escaping the hectic city life to bask in the stylish Park Central New York.
Another great hotel is The Pearl New York: Located in Times Square, The Pearl New York is a 15 minute walk from Central Park and 2 blocks from the Rockefeller Center. 
Paramount Times Square: Set amid Broadway theaters, this stylish newyork hotel is a half-block from Times Square. Head to nearby Central Park, and the Museum of Modern Art.",0,0,3,0,0,0
ROUND-2-180-DUMMY_1,2,180,DUMMY_1,newyork hotels,"New York city is the most populous city in the U.S, the center of New York metropolitan area and one of the most attractive cities in the world, with many tourist attractions, restaurants and hotels. These facts bring many people to visit NYC every day. Every region and each one of the five boroughs of NYC contain many hotels and you just need to choose one. If you wish to spend your time in Manhattan, there are many hotels, with range of prices. You can spend your time in a very expensive hotel such as Park Central New York, which located only one minute from the central park, or you can choose an inexpensive one, such as TRYP which located less than one km from the time square. Anyway, New York City is a perfect place to visit and there are many good hotels, so you will find one!",3,2,5,-3,0,0
ROUND-2-180-BOT,2,180,BOT,newyork hotels,"Commonly referred to as ""The Most Famous Arena in the World,"" Madison Square Garden is the home of the New York Knicks, NY Rangers, and some of the best concerts in NYC. To find the cheapest budget hotels NY near MSG, check out the great NYC hotel values below.
    Hampton Inn Madison Square Garden: The Hampton Inn NYC near MSG is just a short walk from Madison Square Garden, and is surrounded by some of the best bars in NYC. Grab a pint before the game, and enjoy close access to your NY hotel ar the Hampton Inn MSG.
    To find the cheapest budget hotels newyork near MSG, check out the great newyork city hotels values below.",0,3,2,3,0,0
ROUND-2-180-DUMMY_2,2,180,DUMMY_2,newyork hotels,"New York City the largest city in the U.S. also known as ""The Big Apple"", is an architectural marvel with plenty of historic monuments, magnificent buildings and dazzling skyscrapers. Here are several hotels near NYC's landmarks. Hampton Inn Manhattan Located one block from the Empire State Building, just 10-minute walk from Central Park, Times Square and other Manhattan attractions and some of the best bars in NYC. The Waldorf-Astoria, a 5-star luxury hotel on Park Avenue near Broadway and Central Park. Holiday Inn Express MSG, near Madison Square Garden, Within 8 minutes' walk of Times Square and the Empire State Building and just across the street from historic Penn Station. Hilton Garden Inn NYC on Midtown Park Avenue Located 5-minute walk from the Empire State Building. The Plaza on Fifth Avenue best for shopping. The historic Warwick Hotel near The Museum of Modern Art (MoMa).",2,1,4,0,0,0
ROUND-2-180-6LWZ77,2,180,6LWZ77,newyork hotels,"Chic, urban, and in the heart of it all, the Pod Hotels are right where you want to be in New York City.
Pod 39, Pod 51 and our new location PodTime square are close to all of the action, but just far enough away - and above - the hustle and bustle. 
Our Pods are all a short walk or subway ride away from every major site in NewYork, Times Square,  the Empire State Building, Fifth Avenue, Central Park, Grand Central Terminal, Rockefeller Center, and much, much more.
Once you step out of our doors, eat, drink, and play options are endless and are limited only by your imagination.",3,2,1,0,0,0
ROUND-3-180-8RUXW7,3,180,8RUXW7,newyork hotels,"The Pod Hotels are right in New York City just a short walk from every major site in NewYork, Times Square, the Empire State Building, Fifth Avenue, Central Park, and much more. 
The Midtown New York City Hotel - Whether visiting New York for business or pleasure, you'll be comfortable here at the Park Central Hotel NewYork located squarely amidst New York's most popular sights and hotels in Midtown Manhattan.
The Pearl New York is a 15 minute walk from Central Park. Paramount Times Square: Set amid Broadway theaters, this stylish newyork hotel is a half-block from Times Square. 
Hampton Inn Madison Square Garden: The Hampton Inn NYC near MSG is just a short walk from Madison Square Garden, and is surrounded by some of the best bars in NYC.
To find the cheapest budget hotels newyork, check out our great newyork city hotels.",2,3,2,1,1,0
ROUND-3-180-DUMMY_1,3,180,DUMMY_1,newyork hotels,"New York City is the most populous city in the U.S, the center of New York metropolitan area and one of the most attractive cities in the world. There are many hotels in New York City, with range of prices. You can spend your time in a very expensive hotel such as Park Central New York, which located only one minute from the central park, or you can choose an inexpensive one, such as TRYP which located less than one km from the time square. You can also try La Quinta Inn  and amp; Suites Manhattan which is 3 stars hotel, but in a perfect location in NYC. If you don’t want to spend a lot of money, but to get a better hotel, choose the Crowne Plaza Times Square hotel. I recommend you to use one of the New York hotels websites to get the best hotel for you.",0,2,4,1,-2,0
ROUND-3-180-BOT,3,180,BOT,newyork hotels,"Commonly referred to as ""The Most Famous Arena in the World,"" Madison Square Garden is the home of the New York Knicks, NY Rangers, and some of the best concerts in NYC. Chic, urban, and in the heart of it all, the Pod Hotels are right where you want to be in New York City.
    Hampton Inn Madison Square Garden: The Hampton Inn NYC near MSG is just a short walk from Madison Square Garden, and is surrounded by some of the best bars in NYC. Grab a pint before the game, and enjoy close access to your NY hotel ar the Hampton Inn MSG.
    To find the cheapest budget hotels newyork near MSG, check out the great newyork city hotels values below.",1,1,1,1,4,0
ROUND-3-180-DUMMY_2,3,180,DUMMY_2,newyork hotels,"New York City the largest city in the U.S. also known as ""The Big Apple"", is an architectural marvel with plenty of historic monuments, magnificent buildings and dazzling skyscrapers. Here are several hotels near NYC's landmarks. Hampton Inn Manhattan Located one block from the Empire State Building, just 10-minute walk from Central Park, Times Square and other Manhattan attractions and some of the best bars in NYC. The Waldorf-Astoria, a 5-star luxury hotel on Park Avenue near Broadway and Central Park. Holiday Inn Express MSG, near Madison Square Garden, Within 8 minutes' walk of Times Square and the Empire State Building and just across the street from historic Penn Station. Hilton Garden Inn NYC on Midtown Park Avenue Located 5-minute walk from the Empire State Building. The Plaza on Fifth Avenue best for shopping. The historic Warwick Hotel near The Museum of Modern Art (MoMa).",2,1,5,-1,-1,0
ROUND-3-180-6LWZ77,3,180,6LWZ77,newyork hotels,"Chic, urban, and in the heart of it all, the Pod Hotels are right where you want to be in New York City.
Pod 39, Pod 51 and our new location PodTime square are close to all of the action, but just far enough away - and above - the hustle and bustle. 
Our Pods are all a short walk or subway ride away from every major site in NewYork, Times Square,  the Empire State Building, Fifth Avenue, Central Park, Grand Central Terminal, Rockefeller Center, and much more.
Once you step out of our doors, eat, drink, and play options are endless and are limited only by your imagination.",1,2,3,-2,-2,0
ROUND-4-180-8RUXW7,4,180,8RUXW7,newyork hotels,"Hampton Inn Madison Square Garden: The Hampton Inn NYC near MSG is just a short walk from Madison Square Garden the home of the NewYork Knicks, NY Rangers, some of the best concerts in NYC and surrounded by some of the best bars in NYC . 
The Pod Hotels are right in New York City just a short walk from every major site in NewYork, Times Square, the Empire State Building, Fifth Avenue, Central Park, and much more. 
The Midtown New York City Hotel - Whether visiting New York for business or pleasure, you'll be comfortable here at the Park Central Hotel NewYork located squarely amidst New York's most popular sights and hotels in Midtown Manhattan. 
The Pearl New York is a 15 minute walk from Central Park, this stylish newyork hotel is a half-block from Times Square. 
To find the cheapest budget hotels newyork, check out our great newyork city hotels.",0,3,1,1,2,2
ROUND-4-180-DUMMY_1,4,180,DUMMY_1,newyork hotels,"There are many hotels in New York City, with range of prices. You can spend your time in a very expensive hotel such as Park Central New York hotel, which located only one minute from the central park, or you can choose an inexpensive one, such as TRYP hotel which located less than one km from the time square. You can also try La Quinta Inn  and amp; Suites Manhattan hotel which is 3 stars hotel, but in a perfect location in New York City. If you don’t want to spend a lot of money, but to get a better hotel, choose the Crowne Plaza Times Square hotel.",2,3,4,0,1,-2
ROUND-4-180-BOT,4,180,BOT,newyork hotels,"Commonly referred to as ""The Most Famous Arena in the World,"" Madison Square Garden is the home of the New York Knicks, NY Rangers, and some of the best concerts in NYC. Chic, urban, and in the heart of it all, the Pod Hotels are right where you want to be in New York City.
    Hampton Inn Madison Square Garden: The Hampton Inn NYC near MSG is just a short walk from Madison Square Garden, and is surrounded by some of the best bars in NYC. Grab a pint before the game, and enjoy close access to your NY hotel ar the Hampton Inn MSG.
    To find the cheapest budget hotels newyork near MSG, check out the great newyork city hotels values below.",1,1,2,-1,0,3
ROUND-4-180-DUMMY_2,4,180,DUMMY_2,newyork hotels,"New York is the largest city in the U.S. an architectural marvel with plenty of historic monuments, magnificent buildings and dazzling skyscrapers.
The 5 Best Hotels in ""The Big Apple""
[1] EVEN Hotel Times Square South
[2] Chelsea Pines Inn
[3] Casablanca Hotel Times Square
[4] The Sherry-Netherland Hotel
[5] 414 Hotel

The 5 Best Cheap Hotels in New York City (low cost):
[1] Park South Hotel
[2] Hampton Inn Manhattan-Seaport-Financial District
[3] Broadway at Times Square Hotel
[4] Hampton Inn Manhattan-SoHo
[5] BEST WESTERN PLUS Seaport Inn Downtown

Best 5 Luxury Hotels in NYC, Manhattan:
[1] The Plaza
[2] The Greenwich Hotel - TriBeCa
[3] Four Seasons - Midtown East
[4] The Pierre - A Taj Hotel - Upper East Side
[5] Trump SoHo

Top 5 NYC Boutique Hotels:
[1] Crosby Street Hotel
[2] Library Hotel
[3] Langham Place, Fifth Avenue
[4] The Greenwich Hotel
[5] Lowell Hotel",2,1,5,0,-1,-1
ROUND-4-180-6LWZ77,4,180,6LWZ77,newyork hotels,"Chic, urban, and in the heart of it all, the NewYork Pod Hotels have it all!
Pod 39, Pod 51 and our new location PodTime square are close to all of the action, but just far enough away - and above - the hustle and bustle. 
Our Pods are all a short walk or subway ride away from every major site in NewYork, Times Square,  the Empire State Building, Fifth Avenue, Central Park, Grand Central Terminal, Rockefeller Center, and much more.
Once you step out of our doors, eat, drink, and play options are endless and are limited only by your imagination.",2,1,3,0,-2,-2
ROUND-1-182-ZQ22RB,1,182,ZQ22RB,quit smoking,"Not sure how to quit smoking cigarettes? Try one of these 20+ ways to stop smoking and start your path towards a healthier, smoke-free life.
Make an honest list of all the things you like about smoking.
Draw a line down the center of a piece of paper and write them on one side; on the other side make a list of all the things you dislike, such as how it can interfere with your health, work, family, etc., suggests Daniel Z. Lieberman, M.D., director of the Clinical Psychiatric Research Center at George Washington University Medical Center in Washington, D.C. Think about the list over time, and make changes. If you are brave enough, get feedback from family and friends about things they donate like about your use of cigarettes. When the negative side outweighs the positive side, you are ready to quit.",3,3,4,0,0,0
